令和7年1月1日住民基本台帳人口・世帯数、令和6年（1月1日から同年12月31日まで）人口動態（市区町村別）（外国人住民）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,令和7年,令和7年,令和7年,令和7年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年
,,,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年
,,,人口,人口,人口,世帯数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
,,,男,女,計,世帯数,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（国籍喪失）,その他（その他）,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（帰化等）,その他（その他）,その他（計）,計（Ｂ）,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,人,人,人,世帯,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,％,人,％,人,％
132276,東京都,羽村市,951 ,1028 ,1979 ,1151 ,363 ,347 ,710 ,14 ,0 ,1 ,1 ,725 ,440 ,65 ,505 ,1 ,4 ,52 ,56 ,562 ,163 ,8.98 ,13 ,0.72 ,150 ,8.26 
132284,東京都,あきる野市,883 ,678 ,1561 ,938 ,283 ,172 ,455 ,10 ,0 ,5 ,5 ,470 ,148 ,70 ,218 ,8 ,4 ,26 ,30 ,256 ,214 ,15.89 ,2 ,0.15 ,212 ,15.74 
132292,東京都,西東京市,3326 ,2914 ,6240 ,2739 ,1009 ,921 ,1930 ,35 ,0 ,86 ,86 ,2051 ,966 ,216 ,1182 ,12 ,22 ,142 ,164 ,1358 ,693 ,12.49 ,23 ,0.41 ,670 ,12.08 
133001,東京都,西多摩郡,739 ,620 ,1359 ,767 ,257 ,157 ,414 ,5 ,0 ,1 ,1 ,420 ,204 ,75 ,279 ,1 ,3 ,18 ,21 ,301 ,119 ,9.60 ,4 ,0.32 ,115 ,9.27 
133035,東京都,西多摩郡瑞穂町,619 ,473 ,1092 ,623 ,223 ,129 ,352 ,5 ,0 ,0 ,0 ,357 ,183 ,63 ,246 ,1 ,2 ,15 ,17 ,264 ,93 ,9.31 ,4 ,0.40 ,89 ,8.91 
133051,東京都,西多摩郡日の出町,83 ,90 ,173 ,90 ,22 ,18 ,40 ,0 ,0 ,1 ,1 ,41 ,16 ,9 ,25 ,0 ,0 ,3 ,3 ,28 ,13 ,8.13 ,0 ,0.00 ,13 ,8.13 
133078,東京都,西多摩郡檜原村,5 ,6 ,11 ,5 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0.00 ,0 ,0.00 ,0 ,0.00 
133086,東京都,西多摩郡奥多摩町,32 ,51 ,83 ,49 ,11 ,10 ,21 ,0 ,0 ,0 ,0 ,21 ,4 ,3 ,7 ,0 ,1 ,0 ,1 ,8 ,13 ,18.57 ,0 ,0.00 ,13 ,18.57 
133604,東京都,島しょ,197 ,199 ,396 ,269 ,41 ,88 ,129 ,0 ,0 ,0 ,0 ,129 ,37 ,28 ,65 ,2 ,1 ,0 ,1 ,68 ,61 ,18.21 ,-2 ,-0.60 ,63 ,18.81 
133612,東京都,大島町,118 ,30 ,148 ,125 ,12 ,43 ,55 ,0 ,0 ,0 ,0 ,55 ,15 ,16 ,31 ,0 ,0 ,0 ,0 ,31 ,24 ,19.35 ,0 ,0.00 ,24 ,19.35 
133621,東京都,利島村,3 ,3 ,6 ,3 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,2 ,1 ,2 ,3 ,0 ,0 ,0 ,0 ,3 ,-1 ,-14.29 ,0 ,0.00 ,-1 ,-14.29 
133639,東京都,新島村,4 ,13 ,17 ,14 ,4 ,4 ,8 ,0 ,0 ,0 ,0 ,8 ,2 ,2 ,4 ,0 ,0 ,0 ,0 ,4 ,4 ,30.77 ,0 ,0.00 ,4 ,30.77 
133647,東京都,神津島村,8 ,2 ,10 ,9 ,4 ,2 ,6 ,0 ,0 ,0 ,0 ,6 ,2 ,2 ,4 ,0 ,0 ,0 ,0 ,4 ,2 ,25.00 ,0 ,0.00 ,2 ,25.00 
133817,東京都,三宅村,13 ,28 ,41 ,27 ,4 ,10 ,14 ,0 ,0 ,0 ,0 ,14 ,1 ,2 ,3 ,0 ,0 ,0 ,0 ,3 ,11 ,36.67 ,0 ,0.00 ,11 ,36.67 
133825,東京都,御蔵島村,1 ,1 ,2 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,100.00 ,0 ,0.00 ,1 ,100.00 
134015,東京都,八丈町,26 ,103 ,129 ,56 ,7 ,17 ,24 ,0 ,0 ,0 ,0 ,24 ,8 ,4 ,12 ,2 ,1 ,0 ,1 ,15 ,9 ,7.50 ,-2 ,-1.67 ,11 ,9.17 
134023,東京都,青ヶ島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0 ,0.00 ,0 ,0.00 
